no,category,category_label,file,seo_title,alt,caption
1,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-01.webp,Pendik çamaşır makinesi teknik servis çalışması #1,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
2,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-01.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #2,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
3,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-01.webp,Pendik beyaz eşya teknik servis çalışması #3,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
4,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-02.webp,Pendik çamaşır makinesi teknik servis çalışması #4,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
5,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-01.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #5,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
6,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-03.webp,Pendik çamaşır makinesi teknik servis çalışması #6,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
7,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-02.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #7,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
8,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-02.webp,Pendik beyaz eşya teknik servis çalışması #8,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
9,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-04.webp,Pendik çamaşır makinesi teknik servis çalışması #9,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
10,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-05.webp,Pendik çamaşır makinesi teknik servis çalışması #10,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
11,parca-motor-pompa,"Parça, Motor ve Pompa İncelemesi",assets/images/gercek-servis/parca-motor-pompa-gercek-servis-01.webp,Pendik beyaz eşya motor ve pompa teknik çalışması #11,"Pendik beyaz eşya teknik servisinde motor, pompa veya mekanik parça incelemesi","Motor, pompa veya mekanik parça teknik incelemesi"
12,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-03.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #12,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
13,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-03.webp,Pendik beyaz eşya teknik servis çalışması #13,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
14,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-04.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #14,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
15,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-05.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #15,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
16,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-01.webp,Pendik bulaşık makinesi teknik servis çalışması #16,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
17,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-06.webp,Pendik çamaşır makinesi teknik servis çalışması #17,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
18,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-02.webp,Pendik bulaşık makinesi teknik servis çalışması #18,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
19,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-03.webp,Pendik bulaşık makinesi teknik servis çalışması #19,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
20,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-04.webp,Pendik beyaz eşya teknik servis çalışması #20,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
21,kurutma-makinesi,Kurutma Makinesi Teknik Servisi,assets/images/gercek-servis/kurutma-makinesi-gercek-servis-01.webp,Pendik kurutma makinesi teknik servis çalışması #21,Pendik kurutma makinesi teknik servis çalışması sırasında mekanik parça incelemesi,Kurutma makinesi mekanik sistem incelemesi
22,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-05.webp,Pendik beyaz eşya teknik servis çalışması #22,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
23,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-06.webp,Pendik beyaz eşya teknik servis çalışması #23,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
24,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-06.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #24,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
25,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-04.webp,Pendik bulaşık makinesi teknik servis çalışması #25,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
26,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-07.webp,Pendik çamaşır makinesi teknik servis çalışması #26,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
27,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-07.webp,Pendik beyaz eşya teknik servis çalışması #27,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
28,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-08.webp,Pendik çamaşır makinesi teknik servis çalışması #28,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
29,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-09.webp,Pendik çamaşır makinesi teknik servis çalışması #29,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
30,parca-motor-pompa,"Parça, Motor ve Pompa İncelemesi",assets/images/gercek-servis/parca-motor-pompa-gercek-servis-02.webp,Pendik beyaz eşya motor ve pompa teknik çalışması #30,"Pendik beyaz eşya teknik servisinde motor, pompa veya mekanik parça incelemesi","Motor, pompa veya mekanik parça teknik incelemesi"
31,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-10.webp,Pendik çamaşır makinesi teknik servis çalışması #31,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
32,beyaz-esya,Beyaz Eşya Teknik Servis Çalışması,assets/images/gercek-servis/beyaz-esya-gercek-servis-08.webp,Pendik beyaz eşya teknik servis çalışması #32,Pendik beyaz eşya teknik servis çalışması sırasında cihaz iç mekanizma incelemesi,Gerçek beyaz eşya teknik servis çalışması
33,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-02.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #33,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
34,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-07.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #34,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
35,elektronik-kart,Elektronik Kart ve Kontrol Sistemi,assets/images/gercek-servis/elektronik-kart-gercek-servis-08.webp,Pendik beyaz eşya elektronik kart teknik incelemesi #35,Pendik beyaz eşya elektronik kart ve kontrol sistemi teknik incelemesi,Elektronik kart ve bağlantı sistemi teknik kontrolü
36,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-05.webp,Pendik bulaşık makinesi teknik servis çalışması #36,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
37,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-03.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #37,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
38,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-04.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #38,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
39,buzdolabi,Buzdolabı Teknik Servisi,assets/images/gercek-servis/buzdolabi-gercek-servis-05.webp,Pendik buzdolabı teknik servis ve soğutma sistemi çalışması #39,Pendik buzdolabı teknik servis çalışması sırasında soğutma sistemi ve iç mekanizma incelemesi,Buzdolabı soğutma sistemi ve teknik mekanizma incelemesi
40,camasir-makinesi,Çamaşır Makinesi Teknik Servisi,assets/images/gercek-servis/camasir-makinesi-gercek-servis-11.webp,Pendik çamaşır makinesi teknik servis çalışması #40,Pendik çamaşır makinesi teknik servis çalışması sırasında iç mekanizma ve parça incelemesi,Çamaşır makinesi mekanik ve elektronik sistem incelemesi
41,bulasik-makinesi,Bulaşık Makinesi Teknik Servisi,assets/images/gercek-servis/bulasik-makinesi-gercek-servis-06.webp,Pendik bulaşık makinesi teknik servis çalışması #41,Pendik bulaşık makinesi teknik servis çalışması sırasında iç mekanizma incelemesi,Bulaşık makinesi iç mekanizma ve parça kontrolü
